,Country,2015 Happiness Rank,2015 Happiness Score,2015 Economy (GDP per Capita),2015 Family,2015 Health (Life Expectancy),2015 Freedom,2015 Trust (Government Corruption),2015 Generosity,2015 Dystopia Residual,2016 Happiness Rank,2016 Happiness Score,2016 Economy (GDP per Capita),2016 Family,2016 Health (Life Expectancy),2016 Freedom,2016 Trust (Government Corruption),2016 Generosity,2016 Dystopia Residual,2017 Happiness Rank,2017 Happiness Score,2017 Economy (GDP per Capita),2017 Family,2017 Health (Life Expectancy),2017 Freedom,2017 Generosity,2017 Trust (Government Corruption),2017 Dystopia Residual
0,Switzerland,1.0,7.587000000000001,1.3965100000000001,1.34951,0.9414299999999999,0.66557,0.41978000000000004,0.29678000000000004,2.5173799999999997,2.0,7.5089999999999995,1.5273299999999999,1.14524,0.86303,0.58557,0.41203,0.28083,2.69463,4.0,7.49399995803833,1.5649795532226598,1.51691174507141,0.858131289482117,0.620070576667786,0.29054927825927696,0.36700728535652205,2.2767162322998
1,Iceland,2.0,7.561,1.3023200000000001,1.4022299999999999,0.94784,0.6287699999999999,0.14145,0.4363,2.70201,3.0,7.501,1.42666,1.18326,0.8673299999999999,0.56624,0.14975,0.47678000000000004,2.83137,3.0,7.50400018692017,1.480633020401,1.6105740070343,0.8335521221160892,0.6271626353263849,0.47554022073745705,0.15352655947208402,2.32271528244019
2,Denmark,3.0,7.527,1.32548,1.36058,0.87464,0.6493800000000001,0.48357,0.34139,2.4920400000000003,1.0,7.526,1.4417799999999998,1.16374,0.79504,0.5794100000000001,0.44453000000000004,0.36171,2.73939,2.0,7.52199983596802,1.48238301277161,1.55112159252167,0.7925655245780941,0.626006722450256,0.3552804887294771,0.40077006816863997,2.31370735168457
3,Norway,4.0,7.522,1.459,1.33095,0.88521,0.66973,0.36503,0.34699,2.4653099999999997,4.0,7.497999999999999,1.57744,1.1269,0.79579,0.59609,0.35775999999999997,0.37895,2.66465,1.0,7.537000179290769,1.6164631843566901,1.53352355957031,0.796666502952576,0.635422587394714,0.36201223731041,0.31596383452415505,2.27702665328979
4,Canada,5.0,7.4270000000000005,1.32629,1.32261,0.9056299999999999,0.63297,0.32957,0.45811,2.4517599999999997,6.0,7.404,1.44015,1.0961,0.8276,0.5737,0.31329,0.44833999999999996,2.70485,7.0,7.31599998474121,1.47920441627502,1.48134899139404,0.83455765247345,0.611100912094116,0.435539722442627,0.287371516227722,2.18726444244385
5,Finland,6.0,7.406000000000001,1.29025,1.31826,0.8891100000000001,0.64169,0.41372,0.23351,2.61955,5.0,7.412999999999999,1.40598,1.1346399999999999,0.81091,0.57104,0.41003999999999996,0.25492,2.82596,5.0,7.468999862670901,1.44357192516327,1.5402467250824,0.80915766954422,0.6179508566856379,0.24548277258873,0.38261154294014,2.4301815032958998
6,Netherlands,7.0,7.377999999999999,1.32944,1.28017,0.89284,0.6157600000000001,0.31814000000000003,0.4761,2.4657,7.0,7.3389999999999995,1.46468,1.02912,0.8123100000000001,0.55211,0.29927,0.47416,2.70749,6.0,7.3769998550415,1.50394463539124,1.42893922328949,0.8106961250305179,0.5853844881057739,0.47048982977867104,0.282661825418472,2.29480409622192
7,Sweden,8.0,7.364,1.33171,1.2890700000000002,0.9108700000000001,0.6598,0.43843999999999994,0.36262,2.3711900000000004,10.0,7.291,1.45181,1.08764,0.83121,0.58218,0.40867,0.38254,2.54734,9.0,7.28399991989136,1.49438726902008,1.47816216945648,0.830875158309937,0.612924098968506,0.38539925217628496,0.384398728609085,2.09753799438477
8,New Zealand,9.0,7.2860000000000005,1.2501799999999998,1.3196700000000001,0.9083700000000001,0.6393800000000001,0.42922,0.47501000000000004,2.26425,8.0,7.334,1.36066,1.17278,0.83096,0.5814699999999999,0.41903999999999997,0.49401000000000006,2.47553,8.0,7.31400012969971,1.40570604801178,1.54819512367249,0.816759705543518,0.6140621304512021,0.500005125999451,0.38281670212745705,2.0464563369751
9,Australia,10.0,7.284,1.33358,1.30923,0.93156,0.6512399999999999,0.35636999999999996,0.43562,2.26646,9.0,7.313,1.4444299999999999,1.10476,0.8512,0.5683699999999999,0.32331,0.47407,2.5465,10.0,7.28399991989136,1.4844149351120002,1.5100419521331798,0.84388679265976,0.601607382297516,0.47769924998283403,0.301183730363846,2.06521081924438
10,Israel,11.0,7.278,1.2285700000000002,1.22393,0.9138700000000001,0.41318999999999995,0.07785,0.33171999999999996,3.08854,11.0,7.267,1.33766,0.9953700000000001,0.8491700000000001,0.36432,0.08728,0.32288,3.31029,11.0,7.212999820709231,1.3753824234008798,1.37628996372223,0.83840399980545,0.40598860383033797,0.330082654953003,0.0852421000599861,2.80175733566284
11,Costa Rica,12.0,7.226,0.95578,1.2378799999999999,0.8602700000000001,0.63376,0.10583,0.25497,3.17728,14.0,7.087000000000001,1.06879,1.02152,0.76146,0.55225,0.10547000000000001,0.22553,3.3516800000000004,12.0,7.0789999961853,1.10970628261566,1.4164036512374898,0.7595092654228209,0.580131649971008,0.21461322903633104,0.100106589496136,2.89863920211792
12,Austria,13.0,7.2,1.33723,1.29704,0.8904200000000001,0.62433,0.18675999999999998,0.33088,2.5332,12.0,7.119,1.45038,1.0838299999999998,0.80565,0.54355,0.21348000000000003,0.32865,2.6934299999999998,13.0,7.00600004196167,1.4870972633361799,1.4599449634552,0.8153284192085269,0.567766189575195,0.316472321748734,0.22106036543846105,2.1385064125061004
13,Mexico,14.0,7.187,1.02054,0.91451,0.8144399999999999,0.48181,0.21311999999999998,0.14074,3.6021400000000003,21.0,6.778,1.1150799999999998,0.7146,0.71143,0.37709000000000004,0.18355,0.11735,3.5590599999999997,25.0,6.57800006866455,1.1531838178634601,1.2108621597290001,0.709978997707367,0.412730008363724,0.12099043279886199,0.132774114608765,2.8371548652648904
14,United States,15.0,7.119,1.3945100000000001,1.24711,0.86179,0.54604,0.1589,0.40105,2.51011,13.0,7.104,1.50796,1.04782,0.779,0.48163,0.14868,0.41076999999999997,2.72782,14.0,6.993000030517581,1.54625928401947,1.4199205636978103,0.7742866277694699,0.505740523338318,0.392578780651093,0.135638788342476,2.2181134223937997
15,Brazil,16.0,6.983,0.98124,1.2328700000000001,0.69702,0.49049,0.17521,0.14574,3.26001,17.0,6.952000000000001,1.08754,1.03938,0.61415,0.40425,0.14165999999999998,0.15775999999999998,3.5073300000000005,22.0,6.6350002288818395,1.1073532104492199,1.43130600452423,0.6165523529052729,0.437453746795654,0.16234989464282998,0.11109276115894301,2.7692670822143595
16,Luxembourg,17.0,6.946000000000001,1.5639100000000001,1.21963,0.91894,0.61583,0.37798000000000004,0.28034000000000003,1.9696099999999999,20.0,6.871,1.6975200000000001,1.03999,0.8454200000000001,0.5487,0.35329,0.27571,2.11055,18.0,6.86299991607666,1.74194359779358,1.45758366584778,0.845089495182037,0.59662789106369,0.283180981874466,0.31883442401886,1.61951208114624
